"Date","Active Addresses 24h"
"2019-03-31T12:00:00.000Z","625989"
"2019-04-01T00:00:00.000Z","670691"
"2019-04-01T12:00:00.000Z","690268"
"2019-04-02T00:00:00.000Z","809575"
"2019-04-02T12:00:00.000Z","887944"
"2019-04-03T00:00:00.000Z","832877"
"2019-04-03T12:00:00.000Z","856240"
"2019-04-04T00:00:00.000Z","852366"
"2019-04-04T12:00:00.000Z","806481"
"2019-04-05T00:00:00.000Z","862138"
"2019-04-05T12:00:00.000Z","883939"
"2019-04-06T00:00:00.000Z","766583"
"2019-04-06T12:00:00.000Z","677557"
"2019-04-07T00:00:00.000Z","666142"
"2019-04-07T12:00:00.000Z","621948"
"2019-04-08T00:00:00.000Z","674194"
"2019-04-08T12:00:00.000Z","776692"
"2019-04-09T00:00:00.000Z","802060"
"2019-04-09T12:00:00.000Z","777629"
"2019-04-10T00:00:00.000Z","767838"
"2019-04-10T12:00:00.000Z","779785"
"2019-04-11T00:00:00.000Z","820106"
"2019-04-11T12:00:00.000Z","813455"
"2019-04-12T00:00:00.000Z","811659"
"2019-04-12T12:00:00.000Z","772987"
"2019-04-13T00:00:00.000Z","683448"
"2019-04-13T12:00:00.000Z","595877"
"2019-04-14T00:00:00.000Z","590747"
"2019-04-14T12:00:00.000Z","594277"
"2019-04-15T00:00:00.000Z","673605"
"2019-04-15T12:00:00.000Z","775830"
"2019-04-16T00:00:00.000Z","775598"
"2019-04-16T12:00:00.000Z","772128"
"2019-04-17T00:00:00.000Z","772665"
"2019-04-17T12:00:00.000Z","748397"
"2019-04-18T00:00:00.000Z","751061"
"2019-04-18T12:00:00.000Z","744224"
"2019-04-19T00:00:00.000Z","768266"
"2019-04-19T12:00:00.000Z","791198"
"2019-04-20T00:00:00.000Z","750679"
"2019-04-20T12:00:00.000Z","689007"
"2019-04-21T00:00:00.000Z","798658"
"2019-04-21T12:00:00.000Z","683519"
"2019-04-22T00:00:00.000Z","559137"
"2019-04-22T12:00:00.000Z","645245"
"2019-04-23T00:00:00.000Z","720111"
"2019-04-23T12:00:00.000Z","715616"
"2019-04-24T00:00:00.000Z","828658"
"2019-04-24T12:00:00.000Z","880292"
"2019-04-25T00:00:00.000Z","780986"
"2019-04-25T12:00:00.000Z","754030"
"2019-04-26T00:00:00.000Z","771156"
"2019-04-26T12:00:00.000Z","769124"
"2019-04-27T00:00:00.000Z","707123"
"2019-04-27T12:00:00.000Z","614110"
"2019-04-28T00:00:00.000Z","596572"
"2019-04-28T12:00:00.000Z","594411"
"2019-04-29T00:00:00.000Z","667690"
"2019-04-29T12:00:00.000Z","793495"
"2019-04-30T00:00:00.000Z","790505"
"2019-04-30T12:00:00.000Z","837464"
"2019-05-01T00:00:00.000Z","881115"
"2019-05-01T12:00:00.000Z","765635"
"2019-05-02T00:00:00.000Z","734491"
"2019-05-02T12:00:00.000Z","790985"
"2019-05-03T00:00:00.000Z","833330"
"2019-05-03T12:00:00.000Z","803539"
"2019-05-04T00:00:00.000Z","751916"
"2019-05-04T12:00:00.000Z","660300"
"2019-05-05T00:00:00.000Z","643487"
"2019-05-05T12:00:00.000Z","617850"
"2019-05-06T00:00:00.000Z","677590"
"2019-05-06T12:00:00.000Z","769134"
"2019-05-07T00:00:00.000Z","804475"
"2019-05-07T12:00:00.000Z","759345"
"2019-05-08T00:00:00.000Z","797723"
"2019-05-08T12:00:00.000Z","839339"
"2019-05-09T00:00:00.000Z","823051"
"2019-05-09T12:00:00.000Z","826118"
"2019-05-10T00:00:00.000Z","796435"
"2019-05-10T12:00:00.000Z","784390"
"2019-05-11T00:00:00.000Z","797178"
"2019-05-11T12:00:00.000Z","775128"
"2019-05-12T00:00:00.000Z","782088"
