"Date","Development Activity"
"2019-04-01T00:00:00.000Z","33.71"
"2019-04-02T00:00:00.000Z","37.36"
"2019-04-03T00:00:00.000Z","37.93"
"2019-04-04T00:00:00.000Z","40.21"
"2019-04-05T00:00:00.000Z","41.5"
"2019-04-06T00:00:00.000Z","41.36"
"2019-04-07T00:00:00.000Z","40.71"
"2019-04-08T00:00:00.000Z","40.43"
"2019-04-09T00:00:00.000Z","40"
"2019-04-10T00:00:00.000Z","39.57"
"2019-04-11T00:00:00.000Z","40"
"2019-04-12T00:00:00.000Z","37.57"
"2019-04-13T00:00:00.000Z","37.71"
"2019-04-14T00:00:00.000Z","38.64"
"2019-04-15T00:00:00.000Z","41.29"
"2019-04-16T00:00:00.000Z","43.21"
"2019-04-17T00:00:00.000Z","44.64"
"2019-04-18T00:00:00.000Z","46.14"
"2019-04-19T00:00:00.000Z","45.29"
"2019-04-20T00:00:00.000Z","45.57"
"2019-04-21T00:00:00.000Z","46.29"
"2019-04-22T00:00:00.000Z","46.29"
"2019-04-23T00:00:00.000Z","45.86"
"2019-04-24T00:00:00.000Z","43.07"
"2019-04-25T00:00:00.000Z","39.14"
"2019-04-26T00:00:00.000Z","40.79"
"2019-04-27T00:00:00.000Z","41.86"
"2019-04-28T00:00:00.000Z","42.93"
"2019-04-29T00:00:00.000Z","42.5"
"2019-04-30T00:00:00.000Z","38.21"
"2019-05-01T00:00:00.000Z","36.29"
"2019-05-02T00:00:00.000Z","35.71"
"2019-05-03T00:00:00.000Z","35"
"2019-05-04T00:00:00.000Z","33.64"
"2019-05-05T00:00:00.000Z","33.36"
"2019-05-06T00:00:00.000Z","35.36"
"2019-05-07T00:00:00.000Z","37.57"
"2019-05-08T00:00:00.000Z","38.57"
"2019-05-09T00:00:00.000Z","40.79"
"2019-05-10T00:00:00.000Z","39.79"
"2019-05-11T00:00:00.000Z","38.14"
"2019-05-12T00:00:00.000Z","36.14"
"2019-05-13T00:00:00.000Z","35.57"
"2019-05-14T00:00:00.000Z","34.86"
"2019-05-15T00:00:00.000Z","35.79"
"2019-05-16T00:00:00.000Z","35.5"
"2019-05-17T00:00:00.000Z","35.07"
"2019-05-18T00:00:00.000Z","36"
"2019-05-19T00:00:00.000Z","36.29"
"2019-05-20T00:00:00.000Z","37"
"2019-05-21T00:00:00.000Z","34.43"
"2019-05-22T00:00:00.000Z","36.14"
"2019-05-23T00:00:00.000Z","34.64"
"2019-05-24T00:00:00.000Z","34.14"
"2019-05-25T00:00:00.000Z","34.71"
"2019-05-26T00:00:00.000Z","34.64"
"2019-05-27T00:00:00.000Z","33.07"
"2019-05-28T00:00:00.000Z","34.43"
"2019-05-29T00:00:00.000Z","33.71"
"2019-05-30T00:00:00.000Z","31.71"
"2019-05-31T00:00:00.000Z","30.43"
"2019-06-01T00:00:00.000Z","29.36"
"2019-06-02T00:00:00.000Z","28.71"
"2019-06-03T00:00:00.000Z","24.93"
"2019-06-04T00:00:00.000Z","23.86"
"2019-06-05T00:00:00.000Z","24.21"
"2019-06-06T00:00:00.000Z","25.79"
"2019-06-07T00:00:00.000Z","25.36"
"2019-06-08T00:00:00.000Z","25.29"
"2019-06-09T00:00:00.000Z","26.29"
"2019-06-10T00:00:00.000Z","26.21"
"2019-06-11T00:00:00.000Z","26.07"
"2019-06-12T00:00:00.000Z","25.79"
"2019-06-13T00:00:00.000Z","28.14"
"2019-06-14T00:00:00.000Z","29.5"
"2019-06-15T00:00:00.000Z","30"
"2019-06-16T00:00:00.000Z","30.93"
"2019-06-17T00:00:00.000Z","33.14"
"2019-06-18T00:00:00.000Z","36"
"2019-06-19T00:00:00.000Z","37.5"
"2019-06-20T00:00:00.000Z","37.64"
"2019-06-21T00:00:00.000Z","38.14"
"2019-06-22T00:00:00.000Z","38.29"
"2019-06-23T00:00:00.000Z","37.43"
"2019-06-24T00:00:00.000Z","38.07"
"2019-06-25T00:00:00.000Z","40.36"
"2019-06-26T00:00:00.000Z","39.43"
"2019-06-27T00:00:00.000Z","36.86"
"2019-06-28T00:00:00.000Z","36.14"
"2019-06-29T00:00:00.000Z","37.36"
"2019-06-30T00:00:00.000Z","37.64"
"2019-07-01T00:00:00.000Z","35.36"
"2019-07-02T00:00:00.000Z","37.57"
"2019-07-03T00:00:00.000Z","37.43"
"2019-07-04T00:00:00.000Z","35.93"
"2019-07-05T00:00:00.000Z","38.07"
"2019-07-06T00:00:00.000Z","40.5"
"2019-07-07T00:00:00.000Z","41.14"
"2019-07-08T00:00:00.000Z","43.14"
"2019-07-09T00:00:00.000Z","43.36"
"2019-07-10T00:00:00.000Z","46.14"
"2019-07-11T00:00:00.000Z","47.14"
"2019-07-12T00:00:00.000Z","49"
"2019-07-13T00:00:00.000Z","48.86"
"2019-07-14T00:00:00.000Z","49"
"2019-07-15T00:00:00.000Z","48.93"
"2019-07-16T00:00:00.000Z","47.79"
"2019-07-17T00:00:00.000Z","44.29"
"2019-07-18T00:00:00.000Z","47"
"2019-07-19T00:00:00.000Z","45.79"
"2019-07-20T00:00:00.000Z","42.79"
"2019-07-21T00:00:00.000Z","42"
"2019-07-22T00:00:00.000Z","40.36"
"2019-07-23T00:00:00.000Z","40.14"
"2019-07-24T00:00:00.000Z","43.21"
"2019-07-25T00:00:00.000Z","46"
"2019-07-26T00:00:00.000Z","46.43"
"2019-07-27T00:00:00.000Z","45.93"
"2019-07-28T00:00:00.000Z","45.14"
"2019-07-29T00:00:00.000Z","48.21"
"2019-07-30T00:00:00.000Z","49.64"
"2019-07-31T00:00:00.000Z","53.5"
"2019-08-01T00:00:00.000Z","52.29"
"2019-08-02T00:00:00.000Z","55.71"
"2019-08-03T00:00:00.000Z","55.71"
"2019-08-04T00:00:00.000Z","58.07"
"2019-08-05T00:00:00.000Z","60.71"
"2019-08-06T00:00:00.000Z","58.79"
"2019-08-07T00:00:00.000Z","53.57"
"2019-08-08T00:00:00.000Z","51.86"
"2019-08-09T00:00:00.000Z","51.43"
"2019-08-10T00:00:00.000Z","52.93"
"2019-08-11T00:00:00.000Z","52.64"
"2019-08-12T00:00:00.000Z","49.71"
"2019-08-13T00:00:00.000Z","45.86"
"2019-08-14T00:00:00.000Z","48.71"
"2019-08-15T00:00:00.000Z","51.86"
"2019-08-16T00:00:00.000Z","53.5"
"2019-08-17T00:00:00.000Z","54.21"
"2019-08-18T00:00:00.000Z","52.57"
"2019-08-19T00:00:00.000Z","56.57"
"2019-08-20T00:00:00.000Z","56"
"2019-08-21T00:00:00.000Z","57.07"
"2019-08-22T00:00:00.000Z","55.07"
"2019-08-23T00:00:00.000Z","57.07"
"2019-08-24T00:00:00.000Z","56.29"
"2019-08-25T00:00:00.000Z","58"
"2019-08-26T00:00:00.000Z","57.79"
"2019-08-27T00:00:00.000Z","57.86"
"2019-08-28T00:00:00.000Z","52.36"
"2019-08-29T00:00:00.000Z","49.14"
"2019-08-30T00:00:00.000Z","43.64"
"2019-08-31T00:00:00.000Z","43.93"
"2019-09-01T00:00:00.000Z","43.5"
"2019-09-02T00:00:00.000Z","35.64"
"2019-09-03T00:00:00.000Z","36.43"
"2019-09-04T00:00:00.000Z","34.86"
"2019-09-05T00:00:00.000Z","36.5"
"2019-09-06T00:00:00.000Z","34.14"
"2019-09-07T00:00:00.000Z","34.86"
"2019-09-08T00:00:00.000Z","34.93"
"2019-09-09T00:00:00.000Z","38.64"
"2019-09-10T00:00:00.000Z","40.07"
"2019-09-11T00:00:00.000Z","38.43"
"2019-09-12T00:00:00.000Z","34.57"
"2019-09-13T00:00:00.000Z","33.29"
"2019-09-14T00:00:00.000Z","33.29"
"2019-09-15T00:00:00.000Z","33.64"
"2019-09-16T00:00:00.000Z","36.71"
"2019-09-17T00:00:00.000Z","36.93"
"2019-09-18T00:00:00.000Z","40.71"
"2019-09-19T00:00:00.000Z","40.93"
"2019-09-20T00:00:00.000Z","40.86"
"2019-09-21T00:00:00.000Z","39.5"
"2019-09-22T00:00:00.000Z","38.21"
"2019-09-23T00:00:00.000Z","34.64"
"2019-09-24T00:00:00.000Z","35"
"2019-09-25T00:00:00.000Z","37.07"
"2019-09-26T00:00:00.000Z","40.5"
"2019-09-27T00:00:00.000Z","41.5"
"2019-09-28T00:00:00.000Z","40.93"
"2019-09-29T00:00:00.000Z","41.29"
"2019-09-30T00:00:00.000Z","43"
"2019-10-01T00:00:00.000Z","43.21"
"2019-10-02T00:00:00.000Z","43.64"
"2019-10-03T00:00:00.000Z","43.64"
"2019-10-04T00:00:00.000Z","44.64"
"2019-10-05T00:00:00.000Z","44.93"
"2019-10-06T00:00:00.000Z","45.64"
"2019-10-07T00:00:00.000Z","47.93"
"2019-10-08T00:00:00.000Z","49.57"
"2019-10-09T00:00:00.000Z","52.29"
"2019-10-10T00:00:00.000Z","55.21"
"2019-10-11T00:00:00.000Z","57.86"
"2019-10-12T00:00:00.000Z","59.14"
"2019-10-13T00:00:00.000Z","60.71"
"2019-10-14T00:00:00.000Z","59.29"
"2019-10-15T00:00:00.000Z","61.43"
"2019-10-16T00:00:00.000Z","58.86"
"2019-10-17T00:00:00.000Z","64.14"
"2019-10-18T00:00:00.000Z","66.07"
"2019-10-19T00:00:00.000Z","65.43"
"2019-10-20T00:00:00.000Z","65.64"
"2019-10-21T00:00:00.000Z","67.86"
"2019-10-22T00:00:00.000Z","66.43"
"2019-10-23T00:00:00.000Z","66.86"
"2019-10-24T00:00:00.000Z","66.57"
"2019-10-25T00:00:00.000Z","65.93"
"2019-10-26T00:00:00.000Z","67.14"
"2019-10-27T00:00:00.000Z","65.57"
"2019-10-28T00:00:00.000Z","65.21"
"2019-10-29T00:00:00.000Z","65.36"
"2019-10-30T00:00:00.000Z","67.36"
"2019-10-31T00:00:00.000Z","64.29"
"2019-11-01T00:00:00.000Z","65.86"
"2019-11-02T00:00:00.000Z","68.21"
"2019-11-03T00:00:00.000Z","67.43"
"2019-11-04T00:00:00.000Z","75"
"2019-11-05T00:00:00.000Z","79.07"
"2019-11-06T00:00:00.000Z","81.43"
"2019-11-07T00:00:00.000Z","79.86"
"2019-11-08T00:00:00.000Z","80.5"
"2019-11-09T00:00:00.000Z","78.29"
"2019-11-10T00:00:00.000Z","78.29"
"2019-11-11T00:00:00.000Z","77.64"
"2019-11-12T00:00:00.000Z","74.86"
"2019-11-13T00:00:00.000Z","73.07"
"2019-11-14T00:00:00.000Z","72.29"
"2019-11-15T00:00:00.000Z","69.71"
"2019-11-16T00:00:00.000Z","66.93"
"2019-11-17T00:00:00.000Z","67.07"
"2019-11-18T00:00:00.000Z","58.79"
"2019-11-19T00:00:00.000Z","55.21"
"2019-11-20T00:00:00.000Z","53.71"
"2019-11-21T00:00:00.000Z","53"
"2019-11-22T00:00:00.000Z","52.93"
"2019-11-23T00:00:00.000Z","54.93"
"2019-11-24T00:00:00.000Z","54.86"
"2019-11-25T00:00:00.000Z","55.14"
"2019-11-26T00:00:00.000Z","56"
"2019-11-27T00:00:00.000Z","54.14"
"2019-11-28T00:00:00.000Z","50.21"
"2019-11-29T00:00:00.000Z","46.93"
"2019-11-30T00:00:00.000Z","48.29"
"2019-12-01T00:00:00.000Z","48"
"2019-12-02T00:00:00.000Z","46.71"
"2019-12-03T00:00:00.000Z","46.14"
"2019-12-04T00:00:00.000Z","41.43"
"2019-12-05T00:00:00.000Z","41.93"
"2019-12-06T00:00:00.000Z","40.57"
"2019-12-07T00:00:00.000Z","39"
"2019-12-08T00:00:00.000Z","39.5"
"2019-12-09T00:00:00.000Z","42.64"
"2019-12-10T00:00:00.000Z","41.14"
"2019-12-11T00:00:00.000Z","44.5"
"2019-12-12T00:00:00.000Z","48.79"
"2019-12-13T00:00:00.000Z","50.57"
"2019-12-14T00:00:00.000Z","49.36"
"2019-12-15T00:00:00.000Z","49.29"
"2019-12-16T00:00:00.000Z","47.71"
"2019-12-17T00:00:00.000Z","48"
"2019-12-18T00:00:00.000Z","47.71"
"2019-12-19T00:00:00.000Z","45.07"
"2019-12-20T00:00:00.000Z","42.5"
"2019-12-21T00:00:00.000Z","41.64"
"2019-12-22T00:00:00.000Z","40.71"
"2019-12-23T00:00:00.000Z","34.07"
"2019-12-24T00:00:00.000Z","32.5"
"2019-12-25T00:00:00.000Z","27.71"
"2019-12-26T00:00:00.000Z","22.36"
"2019-12-27T00:00:00.000Z","20.93"
"2019-12-28T00:00:00.000Z","23.07"
"2019-12-29T00:00:00.000Z","24.64"
"2019-12-30T00:00:00.000Z","23.5"
"2019-12-31T00:00:00.000Z","20.79"
"2020-01-01T00:00:00.000Z","18.5"
"2020-01-02T00:00:00.000Z","20"
"2020-01-03T00:00:00.000Z","24.93"
"2020-01-04T00:00:00.000Z","27.5"
"2020-01-05T00:00:00.000Z","28.86"
"2020-01-06T00:00:00.000Z","31.57"
"2020-01-07T00:00:00.000Z","34.29"
"2020-01-08T00:00:00.000Z","37.14"
"2020-01-09T00:00:00.000Z","39.43"
"2020-01-10T00:00:00.000Z","39.64"
"2020-01-11T00:00:00.000Z","37.79"
"2020-01-12T00:00:00.000Z","35.93"
"2020-01-13T00:00:00.000Z","37.57"
"2020-01-14T00:00:00.000Z","39.29"
"2020-01-15T00:00:00.000Z","42.43"
"2020-01-16T00:00:00.000Z","42.29"
"2020-01-17T00:00:00.000Z","39.29"
"2020-01-18T00:00:00.000Z","39.43"
"2020-01-19T00:00:00.000Z","39.07"
"2020-01-20T00:00:00.000Z","38.29"
"2020-01-21T00:00:00.000Z","36.64"
"2020-01-22T00:00:00.000Z","40.71"
"2020-01-23T00:00:00.000Z","44.14"
"2020-01-24T00:00:00.000Z","46.43"
"2020-01-25T00:00:00.000Z","49.5"
"2020-01-26T00:00:00.000Z","51.93"
"2020-01-27T00:00:00.000Z","51.79"
"2020-01-28T00:00:00.000Z","54.36"
"2020-01-29T00:00:00.000Z","56.36"
"2020-01-30T00:00:00.000Z","58.14"
"2020-01-31T00:00:00.000Z","57.57"
"2020-02-01T00:00:00.000Z","55.86"
"2020-02-02T00:00:00.000Z","55.57"
"2020-02-03T00:00:00.000Z","55.64"
"2020-02-04T00:00:00.000Z","54.86"
"2020-02-05T00:00:00.000Z","50.79"
"2020-02-06T00:00:00.000Z","48"
"2020-02-07T00:00:00.000Z","47.64"
"2020-02-08T00:00:00.000Z","44"
"2020-02-09T00:00:00.000Z","42.21"
"2020-02-10T00:00:00.000Z","45.43"
"2020-02-11T00:00:00.000Z","44.07"
"2020-02-12T00:00:00.000Z","43.57"
"2020-02-13T00:00:00.000Z","42.29"
"2020-02-14T00:00:00.000Z","41"
