"Date","Price","Social Volume","Active social users (Twitter)"
"2019-04-01T12:00:00.000Z","4158.18307045","",""
"2019-04-02T00:00:00.000Z","4759.05958052","13948",""
"2019-04-02T12:00:00.000Z","4879.87782845","",""
"2019-04-03T00:00:00.000Z","4964.54482134","13506",""
"2019-04-03T12:00:00.000Z","4971.30774104","",""
"2019-04-04T00:00:00.000Z","4998.9497127","9009",""
"2019-04-04T12:00:00.000Z","4922.79878778","",""
"2019-04-05T00:00:00.000Z","5004.70570156","8437",""
"2019-04-05T12:00:00.000Z","5036.68110011","",""
"2019-04-06T00:00:00.000Z","5014.38985529","7808",""
"2019-04-06T12:00:00.000Z","5059.81718799","",""
"2019-04-07T00:00:00.000Z","5133.54863712","7078",""
"2019-04-07T12:00:00.000Z","5198.89699014","",""
"2019-04-08T00:00:00.000Z","5153.26085803","9245",""
"2019-04-08T12:00:00.000Z","5289.77104039","",""
"2019-04-09T00:00:00.000Z","5203.26775259","8546",""
"2019-04-09T12:00:00.000Z","5204.95837847","",""
"2019-04-10T00:00:00.000Z","5246.2263236","8942",""
"2019-04-10T12:00:00.000Z","5324.5518687","",""
"2019-04-11T00:00:00.000Z","5057.99984979","8353",""
"2019-04-11T12:00:00.000Z","5064.48767243","",""
"2019-04-12T00:00:00.000Z","5082.33316882","7030",""
"2019-04-12T12:00:00.000Z","5089.53891201","",""
"2019-04-13T00:00:00.000Z","5063.1911818","5867",""
"2019-04-13T12:00:00.000Z","5096.58656276","",""
"2019-04-14T00:00:00.000Z","5088.10765077","5934",""
"2019-04-14T12:00:00.000Z","5167.72236684","",""
"2019-04-15T00:00:00.000Z","5160.27091343","8108",""
"2019-04-15T12:00:00.000Z","5067.10847228","",""
"2019-04-16T00:00:00.000Z","5088.86966564","7798",""
"2019-04-16T12:00:00.000Z","5236.13523984","",""
"2019-04-17T00:00:00.000Z","5261.68891641","7222",""
"2019-04-17T12:00:00.000Z","5251.93818854","",""
"2019-04-18T00:00:00.000Z","5260.60459091","6988",""
"2019-04-18T12:00:00.000Z","5298.15452927","",""
"2019-04-19T00:00:00.000Z","5280.60820686","7033",""
"2019-04-19T12:00:00.000Z","5303.81261613","",""
"2019-04-20T00:00:00.000Z","5327.9927726","7511",""
"2019-04-20T12:00:00.000Z","5335.87896599","",""
"2019-04-21T00:00:00.000Z","5281.17873056","8360",""
"2019-04-21T12:00:00.000Z","5314.5314532","",""
"2019-04-22T00:00:00.000Z","5328.39370886","8785",""
"2019-04-22T12:00:00.000Z","5399.36541009","",""
"2019-04-23T00:00:00.000Z","5579.51833638","11607",""
"2019-04-23T12:00:00.000Z","5571.50817669","",""
"2019-04-24T00:00:00.000Z","5463.38820652","9674",""
"2019-04-24T12:00:00.000Z","5464.86664182","",""
"2019-04-25T00:00:00.000Z","5488.74621289","9054",""
"2019-04-25T12:00:00.000Z","5210.51555862","",""
"2019-04-26T00:00:00.000Z","5288.88051151","9235",""
"2019-04-26T12:00:00.000Z","5279.34821147","",""
"2019-04-27T00:00:00.000Z","5254.24152473","5916",""
"2019-04-27T12:00:00.000Z","5271.74639378","",""
"2019-04-28T00:00:00.000Z","5325.71660604","6457",""
"2019-04-28T12:00:00.000Z","5285.13900822","",""
"2019-04-29T00:00:00.000Z","5268.48504399","7697",""
"2019-04-29T12:00:00.000Z","5247.35253746","",""
"2019-04-30T00:00:00.000Z","5282.60346736","7583",""
"2019-04-30T12:00:00.000Z","5350.72669668","",""
"2019-05-01T00:00:00.000Z","5393.5771169","7782",""
"2019-05-01T12:00:00.000Z","5402.69709069","",""
"2019-05-02T00:00:00.000Z","5461.49927473","8543",""
"2019-05-02T12:00:00.000Z","5505.55237976","",""
"2019-05-03T00:00:00.000Z","5794.24537867","10454",""
"2019-05-03T12:00:00.000Z","5768.28940693","",""
"2019-05-04T00:00:00.000Z","5803.92848611","8330",""
"2019-05-04T12:00:00.000Z","5831.16747167","",""
"2019-05-05T00:00:00.000Z","5773.92393299","7083",""
"2019-05-05T12:00:00.000Z","5795.70842926","",""
"2019-05-06T00:00:00.000Z","5708.0701051","7542",""
"2019-05-06T12:00:00.000Z","5746.80700343","",""
"2019-05-07T00:00:00.000Z","5937.04526349","9626",""
"2019-05-07T12:00:00.000Z","5829.50151628","",""
"2019-05-08T00:00:00.000Z","5907.51201824","12522",""
"2019-05-08T12:00:00.000Z","5982.45732286","",""
"2019-05-09T00:00:00.000Z","6081.37054054","12486",""
"2019-05-09T12:00:00.000Z","6174.52868876","",""
"2019-05-10T00:00:00.000Z","6304.56155483","13375",""
"2019-05-10T12:00:00.000Z","6379.66690526","",""
"2019-05-11T00:00:00.000Z","6777.0712941","16695",""
"2019-05-11T12:00:00.000Z","7204.77169716","",""
"2019-05-12T00:00:00.000Z","7115.46321121","12603",""
"2019-05-12T12:00:00.000Z","6972.37152291","",""
"2019-05-13T00:00:00.000Z","7265.98373239","15607",""
"2019-05-13T12:00:00.000Z","7814.91513992","",""
"2019-05-14T00:00:00.000Z","8054.81667041","14834",""
"2019-05-14T12:00:00.000Z","7994.41615632","",""
