"Date","Social Volume","Volume"
"2019-04-01T12:00:00.000Z","","10157794170"
"2019-04-02T00:00:00.000Z","13948","16378850891"
"2019-04-02T12:00:00.000Z","","21315047816"
"2019-04-03T00:00:00.000Z","13506","20969329558"
"2019-04-03T12:00:00.000Z","","22909436171"
"2019-04-04T00:00:00.000Z","9009","21894610310"
"2019-04-04T12:00:00.000Z","","18251810239"
"2019-04-05T00:00:00.000Z","8437","17781785281"
"2019-04-05T12:00:00.000Z","","16837325387"
"2019-04-06T00:00:00.000Z","7808","15717406018"
"2019-04-06T12:00:00.000Z","","16929795193"
"2019-04-07T00:00:00.000Z","7078","17779347824"
"2019-04-07T12:00:00.000Z","","16655416140"
"2019-04-08T00:00:00.000Z","9245","17198836729"
"2019-04-08T12:00:00.000Z","","17154113634"
"2019-04-09T00:00:00.000Z","8546","15754055091"
"2019-04-09T12:00:00.000Z","","14722104361"
"2019-04-10T00:00:00.000Z","8942","13818299819"
"2019-04-10T12:00:00.000Z","","15504590933"
"2019-04-11T00:00:00.000Z","8353","17126180754"
"2019-04-11T12:00:00.000Z","","16555616019"
"2019-04-12T00:00:00.000Z","7030","14643244179"
"2019-04-12T12:00:00.000Z","","13675206312"
"2019-04-13T00:00:00.000Z","5867","11903729387"
"2019-04-13T12:00:00.000Z","","10823289598"
"2019-04-14T00:00:00.000Z","5934","10052307488"
"2019-04-14T12:00:00.000Z","","10391952498"
"2019-04-15T00:00:00.000Z","8108","11230239487"
"2019-04-15T12:00:00.000Z","","12290155060"
"2019-04-16T00:00:00.000Z","7798","12003992445"
"2019-04-16T12:00:00.000Z","","11621632664"
"2019-04-17T00:00:00.000Z","7222","12442792225"
"2019-04-17T12:00:00.000Z","","12438480676"
"2019-04-18T00:00:00.000Z","6988","12858883814"
"2019-04-18T12:00:00.000Z","","13256094199"
"2019-04-19T00:00:00.000Z","7033","13515931916"
"2019-04-19T12:00:00.000Z","","13780238655"
"2019-04-20T00:00:00.000Z","7511","13906425070"
"2019-04-20T12:00:00.000Z","","13171215856"
"2019-04-21T00:00:00.000Z","8360","13031429203"
"2019-04-21T12:00:00.000Z","","13731844222"
"2019-04-22T00:00:00.000Z","8785","13610516401"
"2019-04-22T12:00:00.000Z","","14601631647"
"2019-04-23T00:00:00.000Z","11607","16320879652"
"2019-04-23T12:00:00.000Z","","16142663877"
"2019-04-24T00:00:00.000Z","9674","16624766153"
"2019-04-24T12:00:00.000Z","","17048033399"
"2019-04-25T00:00:00.000Z","9054","14501366476"
"2019-04-25T12:00:00.000Z","","15330283408"
"2019-04-26T00:00:00.000Z","9235","17945905409"
"2019-04-26T12:00:00.000Z","","16812108039"
"2019-04-27T00:00:00.000Z","5916","14081717921"
"2019-04-27T12:00:00.000Z","","13086036489"
"2019-04-28T00:00:00.000Z","6457","12454026248"
"2019-04-28T12:00:00.000Z","","12819992055"
"2019-04-29T00:00:00.000Z","7697","13190209504"
"2019-04-29T12:00:00.000Z","","13735490672"
"2019-04-30T00:00:00.000Z","7583","14435669083"
"2019-04-30T12:00:00.000Z","","13878964573"
"2019-05-01T00:00:00.000Z","7782","13749999360"
"2019-05-01T12:00:00.000Z","","13679528236"
"2019-05-02T00:00:00.000Z","8543","13728735065"
"2019-05-02T12:00:00.000Z","","14643287376"
"2019-05-03T00:00:00.000Z","10454","18482575167"
"2019-05-03T12:00:00.000Z","","18720780005"
"2019-05-04T00:00:00.000Z","8330","16397567441"
"2019-05-04T12:00:00.000Z","","17567780765"
"2019-05-05T00:00:00.000Z","7083","16804155286"
"2019-05-05T12:00:00.000Z","","14808830722"
"2019-05-06T00:00:00.000Z","7542","14842824815"
"2019-05-06T12:00:00.000Z","","15737171804"
"2019-05-07T00:00:00.000Z","9626","17456346021"
"2019-05-07T12:00:00.000Z","","18026409032"
"2019-05-08T00:00:00.000Z","12522","16566624097"
"2019-05-08T12:00:00.000Z","","15320605299"
"2019-05-09T00:00:00.000Z","12486","16041355723"
"2019-05-09T12:00:00.000Z","","16784645410"
"2019-05-10T00:00:00.000Z","13375","18685017973"
"2019-05-10T12:00:00.000Z","","19415056898"
"2019-05-11T00:00:00.000Z","16695","24283298997"
"2019-05-11T12:00:00.000Z","","28867562329"
"2019-05-12T00:00:00.000Z","12603","29067422500"
"2019-05-12T12:00:00.000Z","","27773333679"
"2019-05-13T00:00:00.000Z","15607","24731164193"
"2019-05-13T12:00:00.000Z","","28677672181"
"2019-05-14T00:00:00.000Z","14834","34738273457"
"2019-05-14T12:00:00.000Z","","32031452226"
"2019-05-15T00:00:00.000Z","14433","28572259337"
"2019-05-15T12:00:00.000Z","","28344112919"
"2019-05-16T00:00:00.000Z","13169","33471709178"
"2019-05-16T12:00:00.000Z","","33167197581"
"2019-05-17T00:00:00.000Z","12897","30751962731"
"2019-05-17T12:00:00.000Z","","30066644905"
"2019-05-18T00:00:00.000Z","8118","25503635991"
"2019-05-18T12:00:00.000Z","","21350752656"
"2019-05-19T00:00:00.000Z","11381","23619359105"
"2019-05-19T12:00:00.000Z","","25902422039"
"2019-05-20T00:00:00.000Z","11210","23693684283"
"2019-05-20T12:00:00.000Z","","23843404339"
"2019-05-21T00:00:00.000Z","10733","22293865752"
"2019-05-21T12:00:00.000Z","","25127245056"
"2019-05-22T00:00:00.000Z","10022","24719524939"
"2019-05-22T12:00:00.000Z","","24719473174"
"2019-05-23T00:00:00.000Z","9290","25360086661"
