"Date","Active Addresses 24h (LTC)"
"2019-03-31T12:00:00.000Z","67232"
"2019-04-01T00:00:00.000Z","71455"
"2019-04-01T12:00:00.000Z","79095"
"2019-04-02T00:00:00.000Z","87364"
"2019-04-02T12:00:00.000Z","94752"
"2019-04-03T00:00:00.000Z","96243"
"2019-04-03T12:00:00.000Z","105007"
"2019-04-04T00:00:00.000Z","97582"
"2019-04-04T12:00:00.000Z","83651"
"2019-04-05T00:00:00.000Z","80176"
"2019-04-05T12:00:00.000Z","77799"
"2019-04-06T00:00:00.000Z","73170"
"2019-04-06T12:00:00.000Z","73882"
"2019-04-07T00:00:00.000Z","72872"
"2019-04-07T12:00:00.000Z","162385"
"2019-04-08T00:00:00.000Z","167505"
"2019-04-08T12:00:00.000Z","140714"
"2019-04-09T00:00:00.000Z","71702"
"2019-04-09T12:00:00.000Z","70669"
"2019-04-10T00:00:00.000Z","72467"
"2019-04-10T12:00:00.000Z","99837"
"2019-04-11T00:00:00.000Z","125961"
"2019-04-11T12:00:00.000Z","102835"
"2019-04-12T00:00:00.000Z","68780"
"2019-04-12T12:00:00.000Z","68304"
"2019-04-13T00:00:00.000Z","66756"
"2019-04-13T12:00:00.000Z","63150"
"2019-04-14T00:00:00.000Z","64172"
"2019-04-14T12:00:00.000Z","66144"
"2019-04-15T00:00:00.000Z","70613"
"2019-04-15T12:00:00.000Z","72100"
"2019-04-16T00:00:00.000Z","68566"
"2019-04-16T12:00:00.000Z","69404"
"2019-04-17T00:00:00.000Z","68360"
"2019-04-17T12:00:00.000Z","67996"
"2019-04-18T00:00:00.000Z","73796"
"2019-04-18T12:00:00.000Z","75100"
"2019-04-19T00:00:00.000Z","69808"
"2019-04-19T12:00:00.000Z","71166"
"2019-04-20T00:00:00.000Z","71467"
"2019-04-20T12:00:00.000Z","66102"
"2019-04-21T00:00:00.000Z","60757"
"2019-04-21T12:00:00.000Z","58751"
"2019-04-22T00:00:00.000Z","60397"
"2019-04-22T12:00:00.000Z","63490"
"2019-04-23T00:00:00.000Z","69633"
"2019-04-23T12:00:00.000Z","75530"
"2019-04-24T00:00:00.000Z","74456"
"2019-04-24T12:00:00.000Z","72170"
"2019-04-25T00:00:00.000Z","69942"
"2019-04-25T12:00:00.000Z","68825"
"2019-04-26T00:00:00.000Z","71825"
"2019-04-26T12:00:00.000Z","72692"
"2019-04-27T00:00:00.000Z","69041"
"2019-04-27T12:00:00.000Z","65177"
"2019-04-28T00:00:00.000Z","62499"
"2019-04-28T12:00:00.000Z","64741"
"2019-04-29T00:00:00.000Z","69732"
"2019-04-29T12:00:00.000Z","67903"
"2019-04-30T00:00:00.000Z","65885"
"2019-04-30T12:00:00.000Z","75065"
"2019-05-01T00:00:00.000Z","72726"
"2019-05-01T12:00:00.000Z","63744"
"2019-05-02T00:00:00.000Z","59431"
"2019-05-02T12:00:00.000Z","63025"
"2019-05-03T00:00:00.000Z","65761"
"2019-05-03T12:00:00.000Z","67562"
"2019-05-04T00:00:00.000Z","68409"
"2019-05-04T12:00:00.000Z","68342"
"2019-05-05T00:00:00.000Z","64633"
"2019-05-05T12:00:00.000Z","60266"
"2019-05-06T00:00:00.000Z","60630"
"2019-05-06T12:00:00.000Z","69849"
"2019-05-07T00:00:00.000Z","70507"
"2019-05-07T12:00:00.000Z","67418"
"2019-05-08T00:00:00.000Z","67772"
"2019-05-08T12:00:00.000Z","68141"
"2019-05-09T00:00:00.000Z","68759"
"2019-05-09T12:00:00.000Z","69330"
"2019-05-10T00:00:00.000Z","71554"
"2019-05-10T12:00:00.000Z","73124"
"2019-05-11T00:00:00.000Z","76053"
"2019-05-11T12:00:00.000Z","80169"
"2019-05-12T00:00:00.000Z","75982"
"2019-05-12T12:00:00.000Z","69577"
"2019-05-13T00:00:00.000Z","66566"
"2019-05-13T12:00:00.000Z","73254"
"2019-05-14T00:00:00.000Z","80069"
"2019-05-14T12:00:00.000Z","82088"
"2019-05-15T00:00:00.000Z","82124"
"2019-05-15T12:00:00.000Z","95450"
"2019-05-16T00:00:00.000Z","109587"
"2019-05-16T12:00:00.000Z","98860"
"2019-05-17T00:00:00.000Z","89930"
"2019-05-17T12:00:00.000Z","86607"
"2019-05-18T00:00:00.000Z","77370"
"2019-05-18T12:00:00.000Z","72963"
"2019-05-19T00:00:00.000Z","71062"
"2019-05-19T12:00:00.000Z","72384"
