"Date","Marketcap (LTC)"
"2019-04-01T00:00:00.000Z","3710564698"
"2019-04-02T00:00:00.000Z","4660552087"
"2019-04-03T00:00:00.000Z","5211167802"
"2019-04-04T00:00:00.000Z","5200609304"
"2019-04-05T00:00:00.000Z","5428143570"
"2019-04-06T00:00:00.000Z","5667977475"
"2019-04-07T00:00:00.000Z","5653406711"
"2019-04-08T00:00:00.000Z","5482058436"
"2019-04-09T00:00:00.000Z","5316681645"
"2019-04-10T00:00:00.000Z","5416155737"
"2019-04-11T00:00:00.000Z","4884140000"
"2019-04-12T00:00:00.000Z","4841472626"
"2019-04-13T00:00:00.000Z","4797064869"
"2019-04-14T00:00:00.000Z","5087597682"
"2019-04-15T00:00:00.000Z","4850589494"
"2019-04-16T00:00:00.000Z","4992536055"
"2019-04-17T00:00:00.000Z","4869545081"
"2019-04-18T00:00:00.000Z","5040919341"
"2019-04-19T00:00:00.000Z","5070985398"
"2019-04-20T00:00:00.000Z","5007822653"
"2019-04-21T00:00:00.000Z","4751522316"
"2019-04-22T00:00:00.000Z","4729023682"
"2019-04-23T00:00:00.000Z","4600847627"
"2019-04-24T00:00:00.000Z","4507411995"
"2019-04-25T00:00:00.000Z","4381667236"
"2019-04-26T00:00:00.000Z","4497581499"
"2019-04-27T00:00:00.000Z","4437397260"
"2019-04-28T00:00:00.000Z","4294642258"
"2019-04-29T00:00:00.000Z","4183425749"
"2019-04-30T00:00:00.000Z","4573555690"
"2019-05-01T00:00:00.000Z","4536348667"
"2019-05-02T00:00:00.000Z","4544039947"
"2019-05-03T00:00:00.000Z","4887671308"
"2019-05-04T00:00:00.000Z","4810952019"
"2019-05-05T00:00:00.000Z","4683927727"
"2019-05-06T00:00:00.000Z","4623160562"
"2019-05-07T00:00:00.000Z","4606527090"
"2019-05-08T00:00:00.000Z","4603102251"
"2019-05-09T00:00:00.000Z","4576943366"
"2019-05-10T00:00:00.000Z","4762297083"
"2019-05-11T00:00:00.000Z","5507753608"
"2019-05-12T00:00:00.000Z","5221525879"
"2019-05-13T00:00:00.000Z","5438466607"
"2019-05-14T00:00:00.000Z","5659766830"
"2019-05-15T00:00:00.000Z","6286790204"
"2019-05-16T00:00:00.000Z","5907639438"
"2019-05-17T00:00:00.000Z","5501612937"
"2019-05-18T00:00:00.000Z","5359369854"
"2019-05-19T00:00:00.000Z","5895349548"
"2019-05-20T00:00:00.000Z","5659972915"
"2019-05-21T00:00:00.000Z","5662154167"
"2019-05-22T00:00:00.000Z","5459427424"
"2019-05-23T00:00:00.000Z","5520439404"
"2019-05-24T00:00:00.000Z","6194799935"
"2019-05-25T00:00:00.000Z","6360714997"
"2019-05-26T00:00:00.000Z","6902346395"
"2019-05-27T00:00:00.000Z","7313766497"
"2019-05-28T00:00:00.000Z","7122858055"
"2019-05-29T00:00:00.000Z","7134213755"
"2019-05-30T00:00:00.000Z","6746180187"
"2019-05-31T00:00:00.000Z","7103874447"
"2019-06-01T00:00:00.000Z","6986544718"
"2019-06-02T00:00:00.000Z","7117549253"
"2019-06-03T00:00:00.000Z","6670082969"
"2019-06-04T00:00:00.000Z","6339581094"
"2019-06-05T00:00:00.000Z","6448454321"
"2019-06-06T00:00:00.000Z","6900772771"
"2019-06-07T00:00:00.000Z","7291832560"
"2019-06-08T00:00:00.000Z","7368949519"
"2019-06-09T00:00:00.000Z","7156126159"
"2019-06-10T00:00:00.000Z","8024339041"
"2019-06-11T00:00:00.000Z","8458730744"
"2019-06-12T00:00:00.000Z","8437276929"
"2019-06-13T00:00:00.000Z","8171623427"
"2019-06-14T00:00:00.000Z","8279439668"
"2019-06-15T00:00:00.000Z","8597209350"
"2019-06-16T00:00:00.000Z","8537185634"
"2019-06-17T00:00:00.000Z","8371507503"
"2019-06-18T00:00:00.000Z","8418405569"
"2019-06-19T00:00:00.000Z","8510498678"
"2019-06-20T00:00:00.000Z","8442646196"
"2019-06-21T00:00:00.000Z","8656823082"
"2019-06-22T00:00:00.000Z","8847068563"
"2019-06-23T00:00:00.000Z","8536077179"
"2019-06-24T00:00:00.000Z","8454028779"
"2019-06-25T00:00:00.000Z","8515726713"
"2019-06-26T00:00:00.000Z","8191677322"
"2019-06-27T00:00:00.000Z","7141234400"
"2019-06-28T00:00:00.000Z","7501601230"
"2019-06-29T00:00:00.000Z","8350980305"
"2019-06-30T00:00:00.000Z","7636046758"
"2019-07-01T00:00:00.000Z","7658690466"
"2019-07-02T00:00:00.000Z","7451762462"
"2019-07-03T00:00:00.000Z","7661188686"
"2019-07-04T00:00:00.000Z","7501164314"
"2019-07-05T00:00:00.000Z","7401137488"
