"Date","Social Volume"
"2019-04-02T00:00:00.000Z","1002"
"2019-04-03T00:00:00.000Z","2380"
"2019-04-04T00:00:00.000Z","907"
"2019-04-05T00:00:00.000Z","669"
"2019-04-06T00:00:00.000Z","831"
"2019-04-07T00:00:00.000Z","737"
"2019-04-08T00:00:00.000Z","1197"
"2019-04-09T00:00:00.000Z","997"
"2019-04-10T00:00:00.000Z","646"
"2019-04-11T00:00:00.000Z","901"
"2019-04-12T00:00:00.000Z","489"
"2019-04-13T00:00:00.000Z","718"
"2019-04-14T00:00:00.000Z","773"
"2019-04-15T00:00:00.000Z","586"
"2019-04-16T00:00:00.000Z","508"
"2019-04-17T00:00:00.000Z","543"
"2019-04-18T00:00:00.000Z","520"
"2019-04-19T00:00:00.000Z","622"
"2019-04-20T00:00:00.000Z","535"
"2019-04-21T00:00:00.000Z","673"
"2019-04-22T00:00:00.000Z","632"
"2019-04-23T00:00:00.000Z","835"
"2019-04-24T00:00:00.000Z","1037"
"2019-04-25T00:00:00.000Z","579"
"2019-04-26T00:00:00.000Z","430"
"2019-04-27T00:00:00.000Z","393"
"2019-04-28T00:00:00.000Z","429"
"2019-04-29T00:00:00.000Z","409"
"2019-04-30T00:00:00.000Z","594"
"2019-05-01T00:00:00.000Z","495"
"2019-05-02T00:00:00.000Z","438"
"2019-05-03T00:00:00.000Z","591"
"2019-05-04T00:00:00.000Z","442"
"2019-05-05T00:00:00.000Z","383"
"2019-05-06T00:00:00.000Z","558"
"2019-05-07T00:00:00.000Z","568"
"2019-05-08T00:00:00.000Z","467"
"2019-05-09T00:00:00.000Z","763"
"2019-05-10T00:00:00.000Z","851"
"2019-05-11T00:00:00.000Z","1278"
"2019-05-12T00:00:00.000Z","669"
"2019-05-13T00:00:00.000Z","997"
"2019-05-14T00:00:00.000Z","1013"
"2019-05-15T00:00:00.000Z","1981"
"2019-05-16T00:00:00.000Z","1302"
"2019-05-17T00:00:00.000Z","1049"
"2019-05-18T00:00:00.000Z","653"
"2019-05-19T00:00:00.000Z","788"
"2019-05-20T00:00:00.000Z","795"
"2019-05-21T00:00:00.000Z","889"
"2019-05-22T00:00:00.000Z","747"
"2019-05-23T00:00:00.000Z","576"
"2019-05-24T00:00:00.000Z","1011"
"2019-05-25T00:00:00.000Z","942"
"2019-05-26T00:00:00.000Z","931"
"2019-05-27T00:00:00.000Z","1138"
"2019-05-28T00:00:00.000Z","666"
"2019-05-29T00:00:00.000Z","724"
"2019-05-30T00:00:00.000Z","789"
"2019-05-31T00:00:00.000Z","549"
"2019-06-01T00:00:00.000Z","450"
"2019-06-02T00:00:00.000Z","358"
"2019-06-03T00:00:00.000Z","601"
"2019-06-04T00:00:00.000Z","561"
"2019-06-05T00:00:00.000Z","470"
"2019-06-06T00:00:00.000Z","1007"
"2019-06-07T00:00:00.000Z","1694"
"2019-06-08T00:00:00.000Z","1045"
"2019-06-09T00:00:00.000Z","1008"
"2019-06-10T00:00:00.000Z","1923"
"2019-06-11T00:00:00.000Z","3482"
"2019-06-12T00:00:00.000Z","2899"
"2019-06-13T00:00:00.000Z","1833"
"2019-06-14T00:00:00.000Z","1643"
